المقابل باللغة الأنجلزية	المقابل باللغة الفرنسية	المصطلح
phonemicist	phonémiciste	عالم الفونيمات (متخصص في الصوتيات الوظيفية)
phonemic loan	emprunt phonémique ;emprunt phonologique	اقتباس صوتي
phonemic/natation/ transcription	notation(transcription) phonémique	-كتابة صوتية حرفية -كتابة صوتية فونيمية
phonemics	phonématique	علم الوحدات الصوتية
phonemic stress	accent distinctif	-نبر(مميز) -تطويح مميز
phonemic structure	structure phonémique	-تركيب الوحدات الصوتية -بنية صوتية حرفية
phonemic substutution	substutution phonémique	استبدال حرفي
phonemization	phonémisation	تحول إلى حرف صوتي مساق حرفي دال
phonetic	phonétique	صوتي
phonetic alphabet	alphabet phonétique	ألفبائية صوتية
phonetic alternation	alternace phonétique	-تناوب صوتي -تعاقب صوتي
phonetic change	changement phonétique	تحول صوتي
phonetic complement phonetic indicator	indicateur phonétique ;indicateur (de prononciation)	دليل النطق (علامة في الكتابة تدل على النطق)
phonetic context	contexte phonétique	سياق صوتي
phonetic empathy	comportement perceptuel ( de l’auditeur)	ادراك استئناسي للحرف (من قبل المخاطب)
phonetician	phoéticien	عالم الأصوات (اللغوية)
phonetic modification	modification phonétique	تحول صوتي
phonetic notation	notation phonétique	كتابة صوتية
phonetic representation	représentation phonétique	تمثيل صوتي
phonetics	phonétique	الصوتيات
phonetic script	écriture phonétique	كتابة صوتية
phonetic sign	signe (symbole) phonétique	علامة صوتية (رمز)
phonetic soun change	changement phonétique	تحول صوتي
phonetic spelling	orthographe phonétique	تهجئة صوتية
phonetic symbols	symboles phonétiques	رموز صوتية
phonetic transcription	transcription phonétique	كتابة صوتية
phonetic variant	variante phonétique	بدل صوتي
phonetic writing	écriture phonétique	كتابة صوتية
phonic	phonique	صوتي
phonic group	groupe phonique	مجموعة صوتية متجانسة
phonic substance	substance phonique	مادة صوتية
phonogram	phonogramme	هجاء صوتي
phonography	phonographie ;sténographie	كتابة مختزلة
phonological analysis	analyse phonologique	تحليل صوتي (تحليل فونولوجي)
phonological change	changement phonologique	تحول صوتي
phonological components	composants phonologiques	عناصر صوتية مميزة
phonological item	item phonologique	وحدة صوتية
phonologist	phonologue	عالم الصوتيات الوظيفية
phonology	phonologie	الصوتيات الوظيفية
phonometrics	1-phonométrique 2-phonostylistique	1-الاحصائيات الوظيفية 2-علم الأسلوب الصوتي
phono-morphology ;morpho-phonology	phono-morphology morpho-phonologie	علم الأصوات التصريفي
phonostylistics	phonostylistique	علم الأسلوب الصوتي
phonotactics	phonotactique	دراسة تركيب الأصوات
phrasal compound	mot composé  (deux mot à sens différent)	مركب تعبيري تركيب مزجي
phrasal verb	syntagme verbal	تركيب فعلي
phrase	syngtame	-مجموعة -تركيب
phrase marker	arbre indicateur de syntagme ;indicateur syntagmatique	شجرة التراكيب
phrase structure	structure syntagmatique	البنية التركيبية  (السطحية أو الظاهرة)
phrase structure grammar	grammaire génératrice de structure syntagmatique	نحو تفريغي (للبنى التركيبية)
phrase structure rule	régle de structure syntagmatique	قاعدة البنية التركيبية
physical phonetics	phonétique physique	الصوتيات الفزيائية
physiological phonetics	phonétique physiologique	الصوتيات الفزيولوجية
pictogram	pictogramme	هجاء تصويري
pictography	pictographie	كتابة تصويرية
pidgin	pidgin	لغة هجينة
pitch	pitch ;hauteur	-طبقة الصوت -درجة الصوت
pitch accent	accent de hauteur	تنغيم
pitch functions	fonctions du pitch	وظائف طبقة الصوت
pitch levels	niveaux du pitch	مستويات طبقة الصوت
place of articulation	point d’articulation	مخرج
plain	1-bémolisé 2-simple ;non arrondi	1-غير مضموم  (من حيث التلفظ) 2-مخفوض (من حيث التحليل الصوتي الفزيائي)
planned language change	changement linguistique planifié	تكييف لغوي مخطط
pleonasm	pléonsame	1-لغو (إذا كان مفيدا) 2-حشو (إذا كان غير مفيد)
plereme	pléréme	-مشترك دلالي -بلريم
plosion	plosion	1-إطلاق (في مقابل الحبس) 2-تحريك (في مقابل التسكين) 3-انفجار(في نظر الغربيين)
pluperfectense	plus-que-parfait	صيغة المركب الثاني (في اللغة الأنجلزية)
plural	pluriel	الجمع
plurative	désinence de pluriel	علامة الجمع
plurilingualism	plurilinguisme	تعدد اللغات
plutivocal ;polysemic	plurivoque	متعدد المعاني
poetic licence	licence poétique	ضرورة شعرية
poetics	poétique	فن الشعر
poetry	poésie	شعر
point(position) of articulation	point d’articulation	مخرج
polite form	forme de politesse	صيغة التلطف
polygenesis	théorie polygénitique ;polygénisme	نظرية تعدد أصول اللغات
polyglot	polyglotte	المتعدد اللغات (المتكلم بأكثر من لغتين)
polylingual	plurilingue	متعدد اللغات
polysemy ;polysemia	polysémie	اشتراك لفظي
polysyllabic	polysyllabe	متعدد المقاطع
polysynthetic language	langue polysynthétique	لغة تركيبية
polysystemic	polysystémique	متعدد الأنظمة
polysystémic phonology	phonologie$ poly systémique	الصوتيات الوظيفية  متعددة الانظمة
polytonic language	langue à tons	لغة نغمية
pooh-pooh theory origin of speech	théorie pooh-pooh (origine de la parole)	نظرية الأصوات الانفعالية (في أصل اللغة)
popular etymology	étymologie populaire	-اشتقاق متوهم -تأصيل وهمي
portmanteau  morpheme	morphème portemanteau	دالة ممتزجة
portmanteau word	mot portemanteau	كلمة ممتزجة
posostional variant	variante contextuelle	بدل اضطراري
possessive adjective	adjectif possesif	ضمير الملك المتصل
possessive case	cas possessif	حالة الملكية
possessive prounoun	pronom possessif	ضمير الملك المنفصل
post-alveolar	postalvéolaire	-من أعلى النطع مما فوق النطع
post-article	postarticle	ما بعد أداة التعريف
post-dental	post-dental	-من أعلى الثنايا -مما فوق الثنايا
post-determiner	post-déterminant	ما بعد أداة التعريف
post-dorsal	post-dorsal	من أقصى اللسان
post-nominal modification	modification post-nominative	تخصيص ما بعد الاسم
post-palatal	postpalatal	-من أقصى الحنك -صفاقي
post-pharynx	post-pharynx	أقصى الحلق
postposition	postposition	أداة متأخرة
post-tonic	post-tonique	ما بعد المنبور
post-velar	postvélaire	ما فوق الصفاق
post-vocalic	postvocalique	ما بعد مصوت (كصفة يقال يقع بعد مصوت)
pragmatics	pragmatique	-دراسة استعمالية (دراسة كيفية استعمال الناطقين للغة في حالات الخطاب الملموسة) -براغماتية
pre-adjective	pré-adjectif	صفة مقدمة  (على الموصوف)
pre-article	préarticle	ما قبل أداة التعريف
preaspirate	préaspiré	ذو نفس مسبق
prebase	préfixe	-مسابقة -صدر
pre-co-ordinator	pré-coordinateur	-ما قبل العاطف -ما قبل الربط
predicate	prédica (attribut)	1-المسند(في النحو) 2-المحمول(في المنطق وفي النحو المتأثر بالمنطق)
predicate adjective	adjectif qualificatif	صفة في موضع المسند
predicate phrase	syntagme prédicatif	مجموعة المسند  (أو المحمول)
predication	prédication	إسناد
predicative construction	construction prédicative	تركيب إسنادي
prefix	préfixe	-سابقة -صدر
preliteracy	pre-alphabétisation	ما قبل تعليم الكتابة
prepalatal	prépalatal	شجري
prepostion	préposition	حرف جر
prepositional	prépositionnel	خاص بحرف الجر
prepositional  group/phrase	syntagme prépositionnel	مجموع الجار والمجرور
prepositional   object	objet(complement)  prépositionnel	مفعول مجرور (بحرف الجر)
prescreptive  grammar	grammaire prescriptive/ normative	نحو معياري
prescriptivism	prescreptivisme	المعيارية
present participle	participe présent	صيغة اسم الفاعل (وقد تدل على المصدر مثل الأنجلزية)
present tense	présent	صيغة الحال
presuposed	présupposé	لازم المعنى
presuposition	présupposition	دلالة لزوم
pretrite	prétérit	ماض
preterition	prétérition	تعريض
preterminal	préterminal	ما قبل الطرف
pretonic	prétonique	سابق للنبر الرئيسي
prevelar	prévélaire	-صفاقي -ما فوق الشجر
preverb	préverbe	-ما قبل الفعل -داخل على الفعل
prevocalic	prévocalique	ما قبل المصوت
primary analogy	analogie primaire	-قياس -حمل أصلي
primary articulation	articulation primaire	مركب أصلي
primary compound	composé primaire	مشتق أصلي (كلمة من مورفيمين مقيدين)
primary language	langue première	-اللغة الأم -اللغة الأصلية
primary phoneme	phonème primaire	حرف صوتي  أصلي
primary stress	accent principal/primaire	-نبر رئيسي -النبر الأقوى
primary vowels	voyelle cardinales/primaires	أصول المصوتات  الرئيسية
primary(prime) word	mot original/primaire	كلمة أصلية
primitive	primitif	أصلي
principal	mot principal (dans une apposition)	مبدل منه
principal clause	proposition principales	الجملة المحمول عليها
principal parts	partie principales	الأمثلة المحمول عليها
principal verb	verbe plein/principal	فعل تام
privative affix	affixe privatif	-زائدة للسلب -زائدة للنفي  (مثل الهمزة في "أعجم")
privative opposition	opposition privative	-تقابل بالنفي تقابل سالب
privilege of occurence	privilège d’apparition	-الموضع الأصلي -الموضع المخصص له
pro-adjective	proadjectif	بديل النعت
probality	probalité	احتمال
procedure	procédure	طريقة
process	processus	مجرى (العنصر) (منهج تحليلي)
proclisis	proclise	وصل الكلمة بما بعدها
proclitic	proclitique	موصول بما بعده
